source,target,weight
Gene_001,Gene_005,0.9777079470824726
Gene_001,Gene_012,0.9882202422181033
Gene_001,Gene_053,-0.9307183094862836
Gene_001,Gene_060,0.9803972295317805
Gene_001,Gene_063,-0.9305690542101945
Gene_001,Gene_089,-0.9497746383315123
Gene_001,Gene_070,0.9580789017782827
Gene_001,Gene_115,0.8365481319908972
Gene_001,Gene_127,-0.9369544165291166
Gene_001,Gene_110,-0.8992849811269354
Gene_001,Gene_108,-0.8906864739839315
Gene_001,Gene_146,0.9057732516718215
Gene_001,Gene_147,-0.8446703831997768
Gene_001,Gene_041,0.9547889032649121
Gene_001,Gene_035,-0.9279775335854392
Gene_001,Gene_052,-0.8572532394128124
Gene_001,Gene_050,0.9718010969017924
Gene_001,Gene_045,-0.9738794802825332
Gene_001,Gene_044,0.909087585621437
Gene_001,Gene_104,-0.9827313784706794
Gene_001,Gene_128,0.8601259954181196
Gene_001,Gene_136,-0.937565678575057
Gene_001,Gene_126,0.9276868464122658
Gene_001,Gene_047,-0.9762611363131893
Gene_001,Gene_129,-0.9566649915956402
Gene_001,Gene_117,-0.8955206990488754
Gene_001,Gene_141,0.9451711409141774
Gene_001,Gene_019,-0.9587312542906045
Gene_001,Gene_119,0.9603019338733073
Gene_001,Gene_105,0.9283928126031319
Gene_001,Gene_080,-0.8635098381322022
Gene_001,Gene_016,0.9647855605172122
Gene_001,Gene_073,0.8303290850756243
Gene_001,Gene_097,-0.9744300143869644
Gene_001,Gene_140,-0.9743473547235806
Gene_001,Gene_093,-0.9739115891666178
Gene_001,Gene_099,-0.8004950472693747
Gene_001,Gene_102,0.9315377404247478
Gene_001,Gene_036,0.976058327634693
Gene_001,Gene_057,0.9409248220593355
Gene_001,Gene_084,-0.9834799510066696
Gene_001,Gene_132,-0.9686285418785676
Gene_001,Gene_075,0.8133697658660072
Gene_001,Gene_040,0.97595486464968
Gene_001,Gene_054,-0.8156392805553941
Gene_001,Gene_144,-0.8989861627074337
Gene_001,Gene_071,0.8752368183991016
Gene_001,Gene_064,0.9107882525064708
Gene_001,Gene_120,-0.844661937444793
Gene_001,Gene_149,-0.9720596676062211
Gene_001,Gene_109,0.8515856764955575
Gene_001,Gene_061,0.973172958635035
Gene_001,Gene_049,-0.9796449079684286
Gene_001,Gene_081,-0.8875996622432657
Gene_001,Gene_087,-0.9469413872970316
Gene_001,Gene_033,0.9522255077618947
Gene_001,Gene_124,-0.8018920403558023
Gene_004,Gene_008,0.9724148602028466
Gene_004,Gene_013,-0.972129144357291
Gene_004,Gene_009,-0.8343478168853102
Gene_004,Gene_055,0.9965253231511964
Gene_004,Gene_056,-0.8134463965025569
Gene_004,Gene_072,-0.9815733754130334
Gene_004,Gene_066,0.9730388448762578
Gene_004,Gene_092,0.8550658987781462
Gene_004,Gene_091,0.9545760232274545
Gene_004,Gene_077,-0.988633889651876
Gene_004,Gene_112,0.9850141224832188
Gene_004,Gene_111,0.9943498091297562
Gene_004,Gene_098,0.9794863850921688
Gene_004,Gene_116,-0.9034612336369641
Gene_004,Gene_133,0.8209049082777211
Gene_004,Gene_130,0.99054103927546
Gene_004,Gene_148,0.9814187007117856
Gene_004,Gene_121,0.9067349408634244
